year,date
1982,1982/4/18
1983,1983/5/8
1984,1984/4/22
1985,1985/4/14
1986,2016/5/4
1987,1987/4/19
1988,1988/4/10
1989,1989/4/30
1990,1990/4/15
1991,1991/4/7
1992,1992/4/26
1993,1993/4/18
1994,1994/5/1
1995,1995/4/23
1996,1996/4/14
1997,1997/4/27
1998,1998/4/19
1999,1999/4/11
2000,2000/4/30
2001,2001/4/15
2002,2002/5/5
2003,2003/4/27
2004,2004/4/11
2005,2005/5/1
2006,2006/4/23
2007,2007/4/8
2008,2008/4/27
2009,2009/4/19
2010,2010/4/4
2011,2011/4/24
2012,2012/4/15
2013,2013/5/5
2014,2014/4/20
2015,2015/4/12
2016,2016/5/1
2017,2017/4/16
2018,2018/4/8
2019,2019/4/28
2020,2020/4/19
2021,2021/5/2
2022,2022/4/24
