day_number,name,hagiography,url,weight
953,Прочка  (Недела на проштевањето),"Овој празник пред Чесниот пост е устроен за да потсети на духовниот карактер на постот. Му се посветува на проштевањето или посуштински на покајанието, кое во Црквата претставува единствената вистинска содржина на личносните односи. Телесното воздржување што се практикува за време на постот е неразделно од богокопнежливата љубов на христијаните. Таа самата подразбира тежнеење да се живее во добродетелите на милостивост, кротост, долготрпеливост, смирение и секое човекољубие. Верните настојуваат ревнувајќи во овие добродетели и особено преку подвигот на Исусовата молитва, да Му приготват во себе живеалиште на Светиот Дух.",http://mpc.org.mk/Kalendar/prolog.asp?id=2203,3
960,Тодорова сабота,"Првата сабота од Светата Четириесетница Православната Црква му ја посветува на споменот на чудесното јавување на Христовиот воин Теодор Тирон за избавување на христијаните од неумолливата скверност на царот Јулијан Отстапник. А тоа стана вака: свети Теодор Тирон во времето на гонењата на царот Максимијан маченички пострада за верата Христова во 306 година. Педесет години по неговото преставување кај Бога царот Јулијан Отстапник намисли на подмолен и таен начин да ги измами христијаните, коишто ги презираше, со тоа што за време на Светата Четириесетница, кога христијаните најмногу се очистуваат од гревовите и се трудат да Му угодат на Бога, заповеда на пазарите храната што ќе се продава да биде претходно попрскана со крв принесувана на жртвениците на нечистите идоли. Со ова христијаните купувајќи и јадејќи од храната на пазарите би се оскверниле. Но царот Отстапник не успеа во својата намера, бидејќи Бог му заповеда на храбриот воин Теодор Тирон не на сон, туку на јаве да му се јави на Константинополскиот архиереј Евдоксиј, предупредувајќи го за намислата на царот–Отстапник. Свети Теодор Тирон му предложи на блажениот Евдоксиј наместо да купуваат храна од пазарот, верните да употребат за јадење коливо, односно варена пченица. Со ова ја осуетија намерата на нечестивиот цар, а тој, пак, кога виде дека е откриена неговата измама, нареди повторно да се изнесе чиста храна на пазарите.  Празнувајќи го споменот на ова чудо во првата сабота на Светата Четириесетница, светата Православна Црква ги поучува христијаните дека постот Му е благоугоден на Бога и оние што постат се наоѓаат под особена Божја заштита.",http://mpc.org.mk/Kalendar/prolog.asp?id=2205,3
992,Лазарова сабота,"На овој ден се споменува чудесното воскресение на четиридневно упокоениот Лазар, во она време извршено од Богочовекот Исус Христос. Како што сведочи Светото Евангелие, овој настан бил многу непосредно (или шест дена) пред предавството и убиството на Исус Христос на Голгота. Толкувачите гледаат во него предобраз и своевидна духовна подготовка на тогашните сведоци за претстојното Христово воскресение. Во секој случај, своевремено Лазаровото воскресение беше доживеано како најсилен доказ за Божественоста на Господ Христос пред тогашните Јудејци и постана камен на сопнување за мнозина. Но оттогаш мнозина и поверуваа во Него како во Спасител. Некои богослови особено ја растолкуваа човечката и Божествената природа Христова кај Лазаровото воскресение, велејќи дека Господ плачеше пред гробот на Лазар заради Својата човечка љубов кон него како мил пријател, а го воскресна со Својата Божествена сила како Бог.",http://mpc.org.mk/Kalendar/prolog.asp?id=2204,3
993,Влегување на Господ Исус Христос во Ерусалим - Цветници,"Влегувањето на Исус Христос во Ерусалим откако го воскресна четиридневно погребениот Лазар е мигот на најмногубројното и најрадосното препознавање во Него Господ и Спасител. Исус влегува во престолнината на осле, според старозаветното пророштво. Ова е уште еден од многубројните знаци по кои би можеле да Го препознаат, но сепак овој знак не го разбраа ниту Неговите ученици. Многуброен народ наслушна дека ќе дојде, па го дочекаа со палмови гранчиња во рацете. Значи, ги слекуваа облеките од себе постилајќи ги пред Него и во восхит возвикнуваа вдахновено: Осана! Благословен е Оној што доаѓа во името Господово, Царот Израилев! Дури и некои од дојдените Елини на поклонение за Пасха пристапија и молеа да Го видат. Единствено свештенството и фарисеите се озлобија готвејќи се да Го погубат брзо, а мислеа да го убијат и Лазар кој сведочеше за Неговата сила и за Неговото Божество. И повторно Господ се труди да им го открие Својот идентитет на насобраните и да ги подготви за најблиската иднина и за смислата на оваа мисија и нејзините искушенија. Всушност, кога им сеобраќа со словото за Крстот, тие тогаш го губат знаењето за Него како за Цар и Христос, тогаш им се затвара умот за словото и за Писмата. Цветници се празнуваат во неделата пред Воскресение. Претставуваат сигурно најдраматичниот празник меѓу Дванаесетте големи празници на Црквата. Го ознауваат почетокот на најтешката седмица во историјата на човештвото, којашто аскетското трезвеноумно познание на човековата природа ја нарекува „Страстна“.",http://mpc.org.mk/Kalendar/prolog.asp?id=2192,3
997,Велики Четврток,"Главно за овој значаен ден од Страдалната седмица е дека Господ тогаш ги востанови двете суштествени тајни за нашето спасение: Светата евхаристија (на Тајната вечера: „Земете, јадете, ова е телото Мое кое за вас се прекршува за отпуштање на гревовите! Пијте од неа сите. Ова е крвта Моја која за вас и за мнозина се излева за отпуштање на гревовите! Правете го ова во Мој спомен“.) и Исусовата молитва („…Вистина, вистина ви велам: што и да посакате од Отецот во Мое име, ќе ви се даде“ (Јован 16, 23). „И што и да посакате од Отецот во Мое име, ќе ви го направам за да се прослави Отецот во Синот. Ако посакате нешто во Мое име, Јас ќе го направам…“, Јован 14, 13 – 14). Со други зборови, на Велики Четврток почнува светотаинскиот живот на Црквата. Денот започна со Христовите последни поуки за карактерот на љубовта што треба да ја стекнеме ако сме Негови, Неговото смирение; се памти миењето на нозете на апостолите што го направи Сам: „Ако Јас, Господ и Учител ви ги измив нозете, тогаш сте должни и вие еден на друг да си ги миете нозете“ (Јован 13; 14). А заврши со предавството на Богочовекот Исус Христос на првосвештениците и фарисеите, извршено од Јуда Искариот, еден од бројот на Дванаесеттемина најблиски Христови ученици.",http://mpc.org.mk/Kalendar/prolog.asp?id=2200,4
998,Велики Петок,"На Велики Петок Црквата ги споменува смртта и погребението на Господ Исус Христос и Неговото слегување во адот. Ова е стожерна точка во Страдалната седмица, тогаш Богочовекот Кој невино пострада за спасението на човечкиот род ја стекна благодатта на искупувањето од прародителскиот грев, со што се обезвласти владеењето на смртта и на пеколот (демоните) над природата на човекот. (Попросто кажано, оттогаш луѓето живеејќи богоугодно, очистувајќи ги своите срца од страстите, повторно можат да стануваат слободни личности и како такви наследници на рајот.) За овој ден Црквата пропишува најстрог пост, денот да помине без јадење и пиење (освен за немоќните и престарените), во знак на таговно сеќавање на настаните од она време. На Велики Петок тајниот Христов ученик Јосиф од Ариматеја го измоли од Пилат мртвото тело на невино распнатиот Господ Исус, а јудејскиот кнез Никодим којшто и самиот тајно Го следеше Христовото Божествено учење, со смеса од смирна и алој Му го подготви телото за погребение. Погребот е извршен во петок пред Пасха, во свеж гроб во близината на Голгота (сопственост на Јосиф од Ариматеја). Присутствувале само неколку луѓе. Долгата традиција на споменувањето на овој ден го исполнила со вонредни богослужбени дејства (ги изобразуваат настаните што се случија на Велики Петок: ова започнува со утрената, којашто како бдение се служи уште вечерта во Четвртокот, во која се објавува евангелската историја за страдањата и смртта на Господ Исус Христос во дванаесет евангелија). Со оглед дека на Велики Петок Богочовекот Исус Христос Му се принесе Себеси како благодарствена и искупителна жртва на Бога Отецот во име на севкупната човечка природа (човечкиот род), во Црквата не се служи Светата Евхаристија, освен можеби литургијата на претходно осветени дарови. Во аскетската книжевност, Светите отци особено се задржуваат на карактерот на молитвата на Господ во Гетсиманската градина произнесена на Велики петок, и ја покажуваат како извор, вдахновение и пример на она вонредно животворно ’сеќавање на смртта’  што е преисполнето со безостатната предаденост на Синот кон волјата на Бога Отецот.",http://mpc.org.mk/Kalendar/prolog.asp?id=2201,4
999,Велика Сабота,"Од времето на страдањето на Господ Христос на крст на Голгота, секоја Велика сабота е исполнета со исчекување на благодатта на Неговото Воскресение. Смртта на Господ веќе ги воскреснала упокоените праведници во Ерусалим кои им се јавиле на мнозина, а први што трепереле пред можноста да се објави како воскреснат биле непријателите Негови (првосвештениците и фарисеите што побарале да биде убиен). Побарана е стража од римски војници да Му го чува телото. Сепак, Он како оној што невино и неправедно а Божествен претрпел понижувања, страдања и смрт на крст, незадржливо воскреснал. Смртта и пеколот (демоните) не нашле начин да воспостават власт над Таквиот. Воскреснатиот Господ им се јавил на Своите ученици онака како што сведочат Неговите апостоли и евангелисти. Долгиот богослужбен ден на Велика Сабота завршува длабоко во ноќта со бдението пред Пасха. А на живоносниот Гроб Господов во Ерусалим се празнува Светиот оган. Овој оган од Светиот гроб се пренесува по Светата Земја и ги осветлува сите домови. На денот на великата новозаветна жртва Сонцето на правдата – Христос, го разгорува Светиот оган. Овој празник е востановен со чудото во времето на патријархот Наркисос, кога во недостиг од масло кандилата биле налеани со вода и запалени од оган кој чудесно слегол од небото и за време на пасхалната служба горел како под масло. Древните христијански сведоштва говорат дека незгасливиот оган се чува на Светиот гроб од раните времиња на христијанството. На бдението пред Пасха (Воскресение) во Црквите ширум Православието Епископот, бидејќи е на местото и во образот Христов, самиот ги благословува и ги пали кандилата, а сите други земаат светлина од неговата свеќа.",http://mpc.org.mk/Kalendar/prolog.asp?id=2202,4
1000,Воскресение Христово,"Откако слугите на првосвештениците израилски го фатија Исус и Го предадоа на Пилат со барање да биде распнат, а Пилат за да им угоди конечно така и пресуди иако не Му најде вина, Господ пострада со смрт на Крст. Висеше меѓу двајца разбојници, од кои едниот Го похули а другиот Го прослави, спасувајќи се со ова себеси за живот вечен. Во оној страшен миг неговите ученици се разбегаа како што Самиот им предрече; освен апостолот Јован Заведеев и мајка Му под Крстот, малку подалеку стоеја и неколку жени коишто последните години Му служеа со своите имоти. Покрај Него тогаш немаше други, освен непријателите и минувачите во неверие. Евангелието подробно пишува за смртта. Потоа Јосиф од Ариматеја, кој Му беше ученик, се осмели и го побара од Пилат телото за да го погребе. Го положија во еден нов гроб којшто Јосиф го имаше скроено во карпа. Го затворија влезот со камен и заминаа. За воскресението дознаа во мугрите во неделата, кога оние верни жени појдоа со миризливи масла на гробот за да Го помазаат телото, кое не Го најдоа. Веста ја прими прва Марија Магдалина и побрза да им јави на апостолите и тие не ѝ поверуваа. Петар и Јован самите се стрчнаа до гробот и го најдоа каменот одвален, а од телото лежеа оставени само повоите. По ова, кога се собраа заедно во куќата, Исус им се јави и разбраа дека воскреснал. Но им го отвори умот и за да ги разбираат Писмата. Им се јави и на Лука и Клеопа додека одеа во Емаус, но не Го препознаа веднаш. Срцата им гореа на сите.",http://mpc.org.mk/Kalendar/prolog.asp?id=2194,4
1001,Воскресение Христово (втор ден),"Откако слугите на првосвештениците израилски го фатија Исус и Го предадоа на Пилат со барање да биде распнат, а Пилат за да им угоди конечно така и пресуди иако не Му најде вина, Господ пострада со смрт на Крст. Висеше меѓу двајца разбојници, од кои едниот Го похули а другиот Го прослави, спасувајќи се со ова себеси за живот вечен. Во оној страшен миг неговите ученици се разбегаа како што Самиот им предрече; освен апостолот Јован Заведеев и мајка Му под Крстот, малку подалеку стоеја и неколку жени коишто последните години Му служеа со своите имоти. Покрај Него тогаш немаше други, освен непријателите и минувачите во неверие. Евангелието подробно пишува за смртта. Потоа Јосиф од Ариматеја, кој Му беше ученик, се осмели и го побара од Пилат телото за да го погребе. Го положија во еден нов гроб којшто Јосиф го имаше скроено во карпа. Го затворија влезот со камен и заминаа. За воскресението дознаа во мугрите во неделата, кога оние верни жени појдоа со миризливи масла на гробот за да Го помазаат телото, кое не Го најдоа. Веста ја прими прва Марија Магдалина и побрза да им јави на апостолите и тие не ѝ поверуваа. Петар и Јован самите се стрчнаа до гробот и го најдоа каменот одвален, а од телото лежеа оставени само повоите. По ова, кога се собраа заедно во куќата, Исус им се јави и разбраа дека воскреснал. Но им го отвори умот и за да ги разбираат Писмата. Им се јави и на Лука и Клеопа додека одеа во Емаус, но не Го препознаа веднаш. Срцата им гореа на сите.",http://mpc.org.mk/Kalendar/prolog.asp?id=2194,4
1002,Воскресение Христово (трет ден),"Откако слугите на првосвештениците израилски го фатија Исус и Го предадоа на Пилат со барање да биде распнат, а Пилат за да им угоди конечно така и пресуди иако не Му најде вина, Господ пострада со смрт на Крст. Висеше меѓу двајца разбојници, од кои едниот Го похули а другиот Го прослави, спасувајќи се со ова себеси за живот вечен. Во оној страшен миг неговите ученици се разбегаа како што Самиот им предрече; освен апостолот Јован Заведеев и мајка Му под Крстот, малку подалеку стоеја и неколку жени коишто последните години Му служеа со своите имоти. Покрај Него тогаш немаше други, освен непријателите и минувачите во неверие. Евангелието подробно пишува за смртта. Потоа Јосиф од Ариматеја, кој Му беше ученик, се осмели и го побара од Пилат телото за да го погребе. Го положија во еден нов гроб којшто Јосиф го имаше скроено во карпа. Го затворија влезот со камен и заминаа. За воскресението дознаа во мугрите во неделата, кога оние верни жени појдоа со миризливи масла на гробот за да Го помазаат телото, кое не Го најдоа. Веста ја прими прва Марија Магдалина и побрза да им јави на апостолите и тие не ѝ поверуваа. Петар и Јован самите се стрчнаа до гробот и го најдоа каменот одвален, а од телото лежеа оставени само повоите. По ова, кога се собраа заедно во куќата, Исус им се јави и разбраа дека воскреснал. Но им го отвори умот и за да ги разбираат Писмата. Им се јави и на Лука и Клеопа додека одеа во Емаус, но не Го препознаа веднаш. Срцата им гореа на сите.",http://mpc.org.mk/Kalendar/prolog.asp?id=2194,4
